Timestamp,Vehicle_ID,Speed (Km/h),Distance (Km),SoC (%),Acceleration (m/s²),Braking (m/s²),Terrain,Temperature (°C),Wind Speed (km/h),Elevation (m),Weather
2025-04-22 06:00:00,EV101,66.07,5.51,81.58,0.68,0.57,Downhill,27.57,13.54,296.35,Rainy
2025-04-22 06:05:00,EV101,37.95,3.16,81.11,0.84,0.14,Hilly,38.89,7.01,297.55,Foggy
2025-04-22 06:10:00,EV101,21.95,1.83,80.7,0.65,0.44,Flat,36.17,9.29,300.26,Clear
2025-04-22 06:15:00,EV101,38.94,3.25,80.47,0.57,0.17,Flat,38.04,15.79,300.28,Rainy
2025-04-22 06:20:00,EV101,42.63,3.55,80.31,0.55,0.57,Uphill,29.6,11.95,300.28,Rainy
2025-04-22 06:25:00,EV101,50.09,4.17,80.03,0.4,0.32,Downhill,37.25,13.99,302.2,Foggy
2025-04-22 06:30:00,EV101,43.99,3.67,79.63,0.03,0.07,Hilly,27.29,10.55,305.0,Sunny
2025-04-22 06:35:00,EV101,43.83,3.65,79.17,0.16,0.14,Downhill,30.5,5.62,304.77,Foggy
2025-04-22 06:40:00,EV101,38.98,3.25,78.93,0.27,0.18,Downhill,33.04,7.75,302.63,Rainy
2025-04-22 06:45:00,EV101,53.86,4.49,78.64,0.17,0.35,Downhill,26.31,13.97,303.8,Cloudy
2025-04-22 06:50:00,EV101,35.95,3.0,78.22,0.4,0.53,Flat,31.07,9.3,306.9,Cloudy
2025-04-22 06:55:00,EV101,50.38,4.2,77.93,0.66,0.39,Flat,29.89,18.56,306.49,Cloudy
2025-04-22 07:00:00,EV101,49.23,4.1,77.48,0.53,0.3,Downhill,28.1,11.82,301.99,Sunny
2025-04-22 07:05:00,EV101,41.46,3.45,77.08,0.35,0.31,Uphill,31.83,8.68,304.57,Foggy
2025-04-22 07:10:00,EV101,61.12,5.09,76.74,0.4,0.2,Downhill,39.54,11.34,303.1,Cloudy
2025-04-22 07:15:00,EV101,47.28,3.94,76.5,0.9,0.34,Downhill,25.78,18.93,300.55,Foggy
2025-04-22 07:20:00,EV101,48.27,4.02,76.16,0.52,0.28,Uphill,25.61,7.46,301.82,Cloudy
2025-04-22 07:25:00,EV101,55.01,4.58,76.05,0.2,0.31,Downhill,33.7,10.64,303.94,Cloudy
2025-04-22 07:30:00,EV101,46.91,3.91,75.74,0.72,0.23,Uphill,30.86,9.85,308.15,Foggy
2025-04-22 07:35:00,EV101,51.37,4.28,75.59,0.62,0.16,Flat,35.97,19.7,308.9,Clear
2025-04-22 07:40:00,EV101,37.94,3.16,75.17,0.36,0.22,Hilly,30.9,8.09,304.07,Foggy
2025-04-22 07:45:00,EV101,52.63,4.39,74.99,0.27,0.38,Uphill,37.99,9.48,303.83,Cloudy
2025-04-22 07:50:00,EV101,38.43,3.2,74.56,0.53,0.35,Uphill,32.46,14.35,300.8,Rainy
2025-04-22 07:55:00,EV101,16.67,1.39,74.35,0.79,0.21,Hilly,28.77,8.6,299.56,Clear
2025-04-22 08:00:00,EV101,43.17,3.6,73.85,1.01,0.35,Uphill,32.99,9.13,303.55,Foggy
2025-04-22 08:05:00,EV101,50.49,4.21,73.6,0.47,0.21,Uphill,28.97,8.31,303.26,Rainy
2025-04-22 08:10:00,EV101,33.71,2.81,73.14,0.69,0.07,Flat,38.03,8.09,302.29,Sunny
2025-04-22 08:15:00,EV101,34.78,2.9,72.8,0.59,0.35,Downhill,34.31,8.1,305.31,Cloudy
2025-04-22 08:20:00,EV101,39.31,3.28,72.48,0.36,0.37,Hilly,32.54,5.4,301.66,Sunny
2025-04-22 08:25:00,EV101,42.6,3.55,72.2,0.47,0.58,Uphill,33.38,15.29,301.56,Cloudy
2025-04-22 08:30:00,EV101,51.74,4.31,72.09,0.27,0.61,Hilly,39.3,7.9,298.06,Cloudy
2025-04-22 08:35:00,EV101,42.82,3.57,71.67,0.77,0.0,Flat,29.38,9.31,293.67,Rainy
2025-04-22 08:40:00,EV101,36.46,3.04,71.3,0.41,0.1,Hilly,30.36,17.71,297.86,Cloudy
2025-04-22 08:45:00,EV101,36.4,3.03,70.83,0.64,0.07,Hilly,31.05,11.7,296.32,Clear
2025-04-22 08:50:00,EV101,33.25,2.77,70.66,0.29,0.38,Flat,27.42,18.15,293.16,Sunny
2025-04-22 08:55:00,EV101,57.2,4.77,70.41,0.6,0.1,Uphill,37.92,14.22,288.28,Clear
2025-04-22 09:00:00,EV101,44.19,3.68,70.1,0.08,0.51,Downhill,39.04,12.66,288.36,Rainy
2025-04-22 09:05:00,EV101,36.54,3.04,69.62,0.93,0.41,Downhill,25.27,8.21,287.52,Sunny
2025-04-22 09:10:00,EV101,74.87,6.24,69.45,0.54,0.32,Uphill,31.71,9.76,288.07,Rainy
2025-04-22 09:15:00,EV101,43.11,3.59,69.18,0.47,0.11,Uphill,31.05,15.21,287.35,Sunny
2025-04-22 09:20:00,EV101,34.83,2.9,68.94,0.2,0.12,Uphill,32.14,17.55,284.34,Foggy
2025-04-22 09:25:00,EV101,54.85,4.57,68.73,0.25,0.37,Uphill,32.3,6.86,286.41,Cloudy
2025-04-22 09:30:00,EV101,45.75,3.81,68.34,0.37,0.13,Uphill,34.96,18.91,281.99,Clear
2025-04-22 09:35:00,EV101,42.55,3.55,68.16,0.62,0.32,Hilly,28.76,17.82,279.24,Cloudy
2025-04-22 09:40:00,EV101,47.97,4.0,67.88,0.75,0.27,Downhill,37.14,8.12,277.26,Sunny
2025-04-22 09:45:00,EV101,34.8,2.9,67.46,0.46,0.35,Hilly,26.96,17.32,279.62,Clear
2025-04-22 09:50:00,EV101,41.7,3.48,67.19,0.72,0.22,Uphill,36.56,13.11,276.24,Clear
2025-04-22 09:55:00,EV101,32.24,2.69,66.71,0.63,0.15,Flat,25.83,18.6,280.64,Rainy
2025-04-22 10:00:00,EV101,32.11,2.68,66.55,0.74,0.27,Hilly,33.09,5.84,284.95,Sunny
2025-04-22 10:05:00,EV101,30.41,2.53,66.42,0.73,0.06,Flat,26.15,11.89,280.13,Sunny
2025-04-22 10:10:00,EV101,26.07,2.17,66.08,0.8,0.52,Downhill,25.71,5.54,282.31,Rainy
2025-04-22 10:15:00,EV101,34.55,2.88,65.81,0.4,0.62,Hilly,33.35,17.41,280.78,Rainy
2025-04-22 10:20:00,EV101,28.23,2.35,65.51,0.62,0.0,Uphill,38.21,5.72,279.23,Foggy
2025-04-22 10:25:00,EV101,63.5,5.29,65.4,0.31,0.37,Flat,25.1,13.94,274.29,Cloudy
2025-04-22 10:30:00,EV101,58.98,4.91,65.17,0.59,0.41,Uphill,32.79,15.34,269.53,Cloudy
2025-04-22 10:35:00,EV101,52.8,4.4,64.96,0.37,0.44,Flat,36.11,10.84,271.48,Sunny
2025-04-22 10:40:00,EV101,62.51,5.21,64.73,0.45,0.18,Downhill,32.74,5.16,274.79,Sunny
2025-04-22 10:45:00,EV101,49.09,4.09,64.58,0.31,0.15,Flat,27.32,12.21,274.78,Cloudy
2025-04-22 10:50:00,EV101,31.27,2.61,64.18,0.21,0.61,Flat,29.6,17.59,279.3,Cloudy
2025-04-22 10:55:00,EV101,53.09,4.42,63.87,0.92,0.25,Uphill,38.49,16.42,277.49,Cloudy
2025-04-22 11:00:00,EV101,20.12,1.68,63.75,0.66,0.38,Uphill,29.41,16.55,273.76,Cloudy
2025-04-22 11:05:00,EV101,52.33,4.36,63.5,0.19,0.19,Downhill,37.21,5.24,269.66,Rainy
2025-04-22 11:10:00,EV101,45.99,3.83,63.1,0.58,0.12,Uphill,30.72,16.52,274.52,Foggy
2025-04-22 11:15:00,EV101,31.95,2.66,62.82,0.39,0.22,Uphill,35.72,15.94,276.93,Rainy
2025-04-22 11:20:00,EV101,29.21,2.43,62.69,0.5,0.45,Uphill,27.75,5.02,280.87,Foggy
